日期,業務員,區域,成交量,金額,異常
2026-01-05,Alice,北區,120,58000,否
2026-01-06,Bob,南區,98,42000,否
2026-01-07,Carol,北區,150,76000,否
2026-01-08,Alice,中區,110,55000,否
2026-01-09,Bob,南區,95,41000,否
2026-01-12,Carol,北區,160,125000,是
2026-01-13,Alice,南區,130,61000,否
2026-01-14,Bob,中區,105,46000,否
2026-01-15,Carol,北區,145,69000,否
2026-01-16,Alice,北區,118,57500,否
2026-01-19,Bob,南區,99,43500,否
2026-01-20,Carol,中區,152,78000,否
2026-01-21,Alice,南區,135,62500,否
2026-01-22,Bob,北區,108,47000,否
2026-01-23,Carol,北區,170,88000,否
2026-01-26,Alice,中區,122,60000,否
2026-01-27,Bob,南區,97,43000,否
2026-01-28,Carol,北區,158,74000,否
2026-01-29,Alice,北區,125,62000,否
2026-01-30,Bob,中區,112,49000,否
