日期,客戶,分類,單價,數量,總價,評分,備註
2026-03-01,Alice,電子,250,4,1000,3,
2026-03-02,Bob,家電,880,1,880,3,
2026-03-03,Carol,服飾,150,5,750,3,
2026-03-04,Dave,食品,60,10,600,3,
2026-03-05,Eve,玩具,120,6,720,3,
2026-03-06,Alice,電子,300,2,600,3,
2026-03-07,Bob,服飾,180,3,540,3,
2026-03-08,Carol,食品,45,8,360,3,
2026-03-09,Dave,家電,950,1,950,3,
2026-03-10,Eve,電子,420,2,840,3,
2026-03-11,Alice,玩具,99,7,693,3,
2026-03-12,Bob,食品,75,4,300,3,
2026-03-13,Carol,電子,260,3,780,3,含促銷
2026-03-14,Dave,服飾,210,2,420,3,
2026-03-15,Eve,家電,760,1,760,3,長期客戶
2026-03-16,Alice,食品,50,12,600,3,
2026-03-17,Bob,玩具,135,4,540,3,
2026-03-18,Carol,家電,690,2,1380,3,
2026-03-19,Dave,電子,380,3,1140,3,含促銷
2026-03-20,Eve,服飾,165,5,825,3,
2026-03-21,Alice,食品,55,9,495,3,
2026-03-22,Bob,電子,440,2,880,3,
2026-03-23,Carol,玩具,88,8,704,3,
2026-03-24,Dave,家電,820,1,820,3,
2026-03-25,Eve,電子,510,2,1020,3,含促銷
2026-03-26,Alice,服飾,190,4,760,3,
2026-03-27,Bob,食品,65,6,390,3,
2026-03-28,Carol,電子,230,5,1150,3,
2026-03-29,Dave,玩具,110,3,330,3,
2026-03-30,Eve,家電,720,2,1440,3,
2026-03-31,Alice,食品,40,15,600,3,長期客戶
2026-04-01,Bob,家電,850,2,1700,3,
2026-04-02,Carol,服飾,205,3,615,3,
2026-04-03,Dave,電子,360,4,1440,3,
2026-04-04,Eve,玩具,125,6,750,3,
2026-04-05,Alice,電子,290,3,870,3,
